===
Lewis VS. Stein
Battle 1: Lewis (AC) DEFEATED Stein (KH) : Lewis 27, Stein 25
Battle 2: Lewis (AD) DEFEATED Stein (8C) : Lewis 28, Stein 24
Battle 3: Stein (JH) DEFEATED Lewis (2H) : Lewis 27, Stein 25
Battle 4: Lewis (QD) DEFEATED Stein (2S) : Lewis 28, Stein 24
Battle 5: Stein (9S) DEFEATED Lewis (2D) : Lewis 27, Stein 25
Battle 6: Stein (JS) DEFEATED Lewis (7H) : Lewis 26, Stein 26
Battle 7: Lewis (QC) DEFEATED Stein (8H) : Lewis 27, Stein 25
Battle 8: Lewis (5C) DEFEATED Stein (4S) : Lewis 28, Stein 24
Battle 9: Stein (AH) DEFEATED Lewis (4H) : Lewis 27, Stein 25
Battle 10: Stein (8S) DEFEATED Lewis (3C) : Lewis 26, Stein 26
Battle 11: Lewis (AS) DEFEATED Stein (9C) : Lewis 27, Stein 25
Battle 12: Lewis (KC) DEFEATED Stein (TS) : Lewis 28, Stein 24
Battle 13: Lewis (5H) DEFEATED Stein (3S) : Lewis 29, Stein 23
Battle 14: Stein (6S) DEFEATED Lewis (3D) : Lewis 28, Stein 24
Battle 15: Stein (QH) DEFEATED Lewis (7S) : Lewis 27, Stein 25
Battle 16: Lewis (5S) DEFEATED Stein (2C) : Lewis 28, Stein 24
Battle 17: Stein (TD) DEFEATED Lewis (6H) : Lewis 27, Stein 25
Battle 18: Stein (KS) DEFEATED Lewis (QS) : Lewis 26, Stein 26
Battle 19: Lewis (JC) DEFEATED Stein (9H) : Lewis 27, Stein 25
Battle 20: Stein (KD) DEFEATED Lewis (6C) : Lewis 26, Stein 26
Battle 21: Lewis (TC) DEFEATED Stein (3H) : Lewis 27, Stein 25
Battle 22: Lewis (7C) DEFEATED Stein (4C) : Lewis 28, Stein 24
Battle 23: Lewis (9D) DEFEATED Stein (5D) : Lewis 29, Stein 23
Battle 24: Stein (JD) DEFEATED Lewis (7D) : Lewis 28, Stein 24
Battle 25: Lewis (TH) DEFEATED Stein (6D) : Lewis 29, Stein 23
Battle 26: Lewis (8D) DEFEATED Stein (4D) : Lewis 30, Stein 22
Battle 27: Lewis (AC) DEFEATED Stein (2H) : Lewis 31, Stein 21
Battle 28: Lewis (KH) DEFEATED Stein (JH) : Lewis 32, Stein 20
Battle 29: Lewis (AD) DEFEATED Stein (2D) : Lewis 33, Stein 19
Battle 30: Stein (9S) DEFEATED Lewis (8C) : Lewis 32, Stein 20
Battle 31: Lewis (QD) DEFEATED Stein (7H) : Lewis 33, Stein 19
Battle 32: Stein (JS) DEFEATED Lewis (2S) : Lewis 32, Stein 20
Battle 33: Lewis (QC) DEFEATED Stein (4H) : Lewis 33, Stein 19
Battle 34: Stein (AH) DEFEATED Lewis (8H) : Lewis 32, Stein 20
Battle 35: Lewis (5C) DEFEATED Stein (3C) : Lewis 33, Stein 19
Battle 36: Stein (8S) DEFEATED Lewis (4S) : Lewis 32, Stein 20
Battle 37: Lewis (AS) DEFEATED Stein (3D) : Lewis 33, Stein 19
Battle 38: Lewis (9C) DEFEATED Stein (6S) : Lewis 34, Stein 18
Battle 39: Lewis (KC) DEFEATED Stein (7S) : Lewis 35, Stein 17
Battle 40: Stein (QH) DEFEATED Lewis (TS) : Lewis 34, Stein 18
Battle 41: Stein (6H) DEFEATED Lewis (5H) : Lewis 33, Stein 19
Battle 42: Stein (TD) DEFEATED Lewis (3S) : Lewis 32, Stein 20
Battle 43: Stein (QS) DEFEATED Lewis (5S) : Lewis 31, Stein 21
Battle 44: Stein (KS) DEFEATED Lewis (2C) : Lewis 30, Stein 22
Battle 45: Lewis (JC) DEFEATED Stein (6C) : Lewis 31, Stein 21
Battle 46: Stein (KD) DEFEATED Lewis (9H) : Lewis 30, Stein 22
Battle 47: Lewis (TC) DEFEATED Stein (7D) : Lewis 31, Stein 21
Battle 48: Stein (JD) DEFEATED Lewis (3H) : Lewis 30, Stein 22
Battle 49: Stein (8C) DEFEATED Lewis (7C) : Lewis 29, Stein 23
Battle 50: Stein (9S) DEFEATED Lewis (4C) : Lewis 28, Stein 24
Battle 51: Lewis (9D) DEFEATED Stein (2S) : Lewis 29, Stein 23
Battle 52: Stein (JS) DEFEATED Lewis (5D) : Lewis 28, Stein 24
Battle 53: Lewis (TH) DEFEATED Stein (8H) : Lewis 29, Stein 23
Battle 54: Stein (AH) DEFEATED Lewis (6D) : Lewis 28, Stein 24
Battle 55: Lewis (8D) DEFEATED Stein (4S) : Lewis 29, Stein 23
Battle 56: Stein (8S) DEFEATED Lewis (4D) : Lewis 28, Stein 24
Battle 57: Lewis (AC) DEFEATED Stein (TS) : Lewis 29, Stein 23
Battle 58: Stein (QH) DEFEATED Lewis (2H) : Lewis 28, Stein 24
Battle 59: Lewis (KH) DEFEATED Stein (5H) : Lewis 29, Stein 23
Battle 60: Lewis (JH) DEFEATED Stein (6H) : Lewis 30, Stein 22
Battle 61: Lewis (AD) DEFEATED Stein (3S) : Lewis 31, Stein 21
Battle 62: Stein (TD) DEFEATED Lewis (2D) : Lewis 30, Stein 22
Battle 63: Lewis (QD) DEFEATED Stein (5S) : Lewis 31, Stein 21
Battle 64: Stein (QS) DEFEATED Lewis (7H) : Lewis 30, Stein 22
Battle 65: Lewis (QC) DEFEATED Stein (2C) : Lewis 31, Stein 21
Battle 66: Stein (KS) DEFEATED Lewis (4H) : Lewis 30, Stein 22
Battle 67: Stein (9H) DEFEATED Lewis (5C) : Lewis 29, Stein 23
Battle 68: Stein (KD) DEFEATED Lewis (3C) : Lewis 28, Stein 24
Battle 69: Lewis (AS) DEFEATED Stein (3H) : Lewis 29, Stein 23
Battle 70: Stein (JD) DEFEATED Lewis (3D) : Lewis 28, Stein 24
Battle 71: Lewis (9C) DEFEATED Stein (7C) : Lewis 29, Stein 23
Battle 72: Stein (8C) DEFEATED Lewis (6S) : Lewis 28, Stein 24
Battle 73: Lewis (KC) DEFEATED Stein (4C) : Lewis 29, Stein 23
Battle 74: Stein (9S) DEFEATED Lewis (7S) : Lewis 28, Stein 24
Battle 75: Lewis (JC) DEFEATED Stein (5D) : Lewis 29, Stein 23
Battle 76: Stein (JS) DEFEATED Lewis (6C) : Lewis 28, Stein 24
Battle 77: Lewis (TC) DEFEATED Stein (6D) : Lewis 29, Stein 23
Battle 78: Stein (AH) DEFEATED Lewis (7D) : Lewis 28, Stein 24
Battle 79: Lewis (9D) DEFEATED Stein (4D) : Lewis 29, Stein 23
Battle 80: Stein (8S) DEFEATED Lewis (2S) : Lewis 28, Stein 24
Battle 81: Lewis (TH) DEFEATED Stein (2H) : Lewis 29, Stein 23
Battle 82: Stein (QH) DEFEATED Lewis (8H) : Lewis 28, Stein 24
Battle 83: Lewis (8D) DEFEATED Stein (2D) : Lewis 29, Stein 23
Battle 84: Stein (TD) DEFEATED Lewis (4S) : Lewis 28, Stein 24
Battle 85: Lewis (AC) DEFEATED Stein (7H) : Lewis 29, Stein 23
Battle 86: Stein (QS) DEFEATED Lewis (TS) : Lewis 28, Stein 24
Battle 87: Lewis (KH) DEFEATED Stein (4H) : Lewis 29, Stein 23
Battle 88: Stein (KS) DEFEATED Lewis (5H) : Lewis 28, Stein 24
Battle 89: Lewis (JH) DEFEATED Stein (5C) : Lewis 29, Stein 23
Battle 90: Stein (9H) DEFEATED Lewis (6H) : Lewis 28, Stein 24
Battle 91: Lewis (AD) DEFEATED Stein (3C) : Lewis 29, Stein 23
Battle 92: Stein (KD) DEFEATED Lewis (3S) : Lewis 28, Stein 24
Battle 93: Lewis (QD) DEFEATED Stein (3D) : Lewis 29, Stein 23
Battle 94: Stein (JD) DEFEATED Lewis (5S) : Lewis 28, Stein 24
Battle 95: Lewis (QC) DEFEATED Stein (6S) : Lewis 29, Stein 23
Battle 96: Stein (8C) DEFEATED Lewis (2C) : Lewis 28, Stein 24
Battle 97: Lewis (AS) DEFEATED Stein (7S) : Lewis 29, Stein 23
Battle 98: Stein (9S) DEFEATED Lewis (3H) : Lewis 28, Stein 24
Battle 99: Lewis (9C) DEFEATED Stein (6C) : Lewis 29, Stein 23
Battle 100: Stein (JS) DEFEATED Lewis (7C) : Lewis 28, Stein 24
Battle 101: Lewis (KC) DEFEATED Stein (7D) : Lewis 29, Stein 23
Battle 102: Stein (AH) DEFEATED Lewis (4C) : Lewis 28, Stein 24
Battle 103: Lewis (JC) DEFEATED Stein (2S) : Lewis 29, Stein 23
Battle 104: Stein (8S) DEFEATED Lewis (5D) : Lewis 28, Stein 24
Battle 105: Lewis (TC) DEFEATED Stein (8H) : Lewis 29, Stein 23
Battle 106: Stein (QH) DEFEATED Lewis (6D) : Lewis 28, Stein 24
Battle 107: Lewis (9D) DEFEATED Stein (4S) : Lewis 29, Stein 23
Battle 108: Stein (TD) DEFEATED Lewis (4D) : Lewis 28, Stein 24
Battle 109: Stein (TS) TIED Lewis (TH) : Lewis 33, Stein 19
Battle 110: Stein (9H) DEFEATED Lewis (7H) : Lewis 32, Stein 20
Battle 111: Lewis (KH) DEFEATED Stein (3S) : Lewis 33, Stein 19
Battle 112: Stein (KD) DEFEATED Lewis (4H) : Lewis 32, Stein 20
Battle 113: Lewis (JH) DEFEATED Stein (5S) : Lewis 33, Stein 19
Battle 114: Stein (JD) DEFEATED Lewis (5C) : Lewis 32, Stein 20
Battle 115: Lewis (AD) DEFEATED Stein (2C) : Lewis 33, Stein 19
